date,site,province,district,predicted_total_visitors,statistical_capacity,vli_score
2027-11-18,Jaffna Fort,Northern,Jaffna,512,867,59.05
2027-11-18,Kaudulla National Park,North_Central,Polonnaruwa,679,622,109.16
2027-11-18,Knuckles Conservation Forest,Central,Matale,501,846,59.22
2027-11-18,Mirissa (Whale Watching),Southern,Matara,39,208,18.75
2027-11-18,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,249,434,57.37
2027-11-18,Sigiriya Rock & Museum,Central,Matale,1224,2161,56.64
2027-11-18,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,388,192,202.08
2027-11-18,Temple of the Tooth (Kandy),Central,Kandy,1359,1398,97.21
2027-11-18,Udawalawe National Park,Uva,Monaragala,467,854,54.68
2027-11-18,Wilpattu National Park,North_Western,Puttalam,461,750,61.47
2027-11-18,Yala National Park,Southern,Hambantota,64,2133,3.0
2027-11-19,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-19,Dambulla Cave Temple,Central,Matale,329,586,56.14
2027-11-19,Galle Fort,Southern,Galle,41,897,4.57
2027-11-19,Horton Plains (World's End),Central,Nuwara Eliya,141,270,52.22
2027-11-19,Jaffna Fort,Northern,Jaffna,515,867,59.4
2027-11-19,Kaudulla National Park,North_Central,Polonnaruwa,683,622,109.81
2027-11-19,Knuckles Conservation Forest,Central,Matale,503,846,59.46
2027-11-19,Mirissa (Whale Watching),Southern,Matara,41,208,19.71
2027-11-19,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,244,434,56.22
2027-11-19,Sigiriya Rock & Museum,Central,Matale,1195,2161,55.3
2027-11-19,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,390,192,203.12
2027-11-19,Temple of the Tooth (Kandy),Central,Kandy,1340,1398,95.85
2027-11-19,Udawalawe National Park,Uva,Monaragala,469,854,54.92
2027-11-19,Wilpattu National Park,North_Western,Puttalam,463,750,61.73
2027-11-19,Yala National Park,Southern,Hambantota,65,2133,3.05
2027-11-20,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2027-11-20,Dambulla Cave Temple,Central,Matale,371,586,63.31
2027-11-20,Galle Fort,Southern,Galle,114,897,12.71
2027-11-20,Horton Plains (World's End),Central,Nuwara Eliya,214,270,79.26
2027-11-20,Jaffna Fort,Northern,Jaffna,588,867,67.82
2027-11-20,Kaudulla National Park,North_Central,Polonnaruwa,756,622,121.54
2027-11-20,Knuckles Conservation Forest,Central,Matale,577,846,68.2
2027-11-20,Mirissa (Whale Watching),Southern,Matara,113,208,54.33
2027-11-20,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,288,434,66.36
2027-11-20,Sigiriya Rock & Museum,Central,Matale,1216,2161,56.27
2027-11-20,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,462,192,240.62
2027-11-20,Temple of the Tooth (Kandy),Central,Kandy,1377,1398,98.5
2027-11-20,Udawalawe National Park,Uva,Monaragala,543,854,63.58
2027-11-20,Wilpattu National Park,North_Western,Puttalam,537,750,71.6
2027-11-20,Yala National Park,Southern,Hambantota,138,2133,6.47
2027-11-21,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2027-11-21,Dambulla Cave Temple,Central,Matale,364,586,62.12
2027-11-21,Galle Fort,Southern,Galle,116,897,12.93
2027-11-21,Horton Plains (World's End),Central,Nuwara Eliya,217,270,80.37
2027-11-21,Jaffna Fort,Northern,Jaffna,592,867,68.28
2027-11-21,Kaudulla National Park,North_Central,Polonnaruwa,761,622,122.35
2027-11-21,Knuckles Conservation Forest,Central,Matale,581,846,68.68
2027-11-21,Mirissa (Whale Watching),Southern,Matara,116,208,55.77
2027-11-21,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,284,434,65.44
2027-11-21,Sigiriya Rock & Museum,Central,Matale,1188,2161,54.97
2027-11-21,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,463,192,241.15
2027-11-21,Temple of the Tooth (Kandy),Central,Kandy,1359,1398,97.21
2027-11-21,Udawalawe National Park,Uva,Monaragala,546,854,63.93
2027-11-21,Wilpattu National Park,North_Western,Puttalam,541,750,72.13
2027-11-21,Yala National Park,Southern,Hambantota,141,2133,6.61
2027-11-22,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-22,Dambulla Cave Temple,Central,Matale,314,586,53.58
2027-11-22,Galle Fort,Southern,Galle,50,897,5.57
2027-11-22,Horton Plains (World's End),Central,Nuwara Eliya,153,270,56.67
2027-11-22,Jaffna Fort,Northern,Jaffna,535,867,61.71
2027-11-22,Kaudulla National Park,North_Central,Polonnaruwa,706,622,113.5
2027-11-22,Knuckles Conservation Forest,Central,Matale,523,846,61.82
2027-11-22,Mirissa (Whale Watching),Southern,Matara,49,208,23.56
2027-11-22,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,234,434,53.92
2027-11-22,Sigiriya Rock & Museum,Central,Matale,1129,2161,52.24
2027-11-22,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,402,192,209.38
2027-11-22,Temple of the Tooth (Kandy),Central,Kandy,1305,1398,93.35
2027-11-22,Udawalawe National Park,Uva,Monaragala,488,854,57.14
2027-11-22,Wilpattu National Park,North_Western,Puttalam,482,750,64.27
2027-11-22,Yala National Park,Southern,Hambantota,75,2133,3.52
2027-11-23,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-23,Dambulla Cave Temple,Central,Matale,299,586,51.02
2027-11-23,Galle Fort,Southern,Galle,50,897,5.57
2027-11-23,Horton Plains (World's End),Central,Nuwara Eliya,149,270,55.19
2027-11-23,Jaffna Fort,Northern,Jaffna,521,867,60.09
2027-11-23,Kaudulla National Park,North_Central,Polonnaruwa,686,622,110.29
2027-11-23,Knuckles Conservation Forest,Central,Matale,509,846,60.17
2027-11-23,Mirissa (Whale Watching),Southern,Matara,49,208,23.56
2027-11-23,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,223,434,51.38
2027-11-23,Sigiriya Rock & Museum,Central,Matale,1072,2161,49.61
2027-11-23,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,397,192,206.77
2027-11-23,Temple of the Tooth (Kandy),Central,Kandy,1250,1398,89.41
2027-11-23,Udawalawe National Park,Uva,Monaragala,475,854,55.62
2027-11-23,Wilpattu National Park,North_Western,Puttalam,469,750,62.53
2027-11-23,Yala National Park,Southern,Hambantota,74,2133,3.47
2027-11-24,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-24,Dambulla Cave Temple,Central,Matale,292,586,49.83
2027-11-24,Galle Fort,Southern,Galle,52,897,5.8
2027-11-24,Horton Plains (World's End),Central,Nuwara Eliya,150,270,55.56
2027-11-24,Jaffna Fort,Northern,Jaffna,522,867,60.21
2027-11-24,Kaudulla National Park,North_Central,Polonnaruwa,687,622,110.45
2027-11-24,Knuckles Conservation Forest,Central,Matale,511,846,60.4
2027-11-24,Mirissa (Whale Watching),Southern,Matara,51,208,24.52
2027-11-24,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,218,434,50.23
2027-11-24,Sigiriya Rock & Museum,Central,Matale,1045,2161,48.36
2027-11-24,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,398,192,207.29
2027-11-24,Temple of the Tooth (Kandy),Central,Kandy,1230,1398,87.98
2027-11-24,Udawalawe National Park,Uva,Monaragala,476,854,55.74
2027-11-24,Wilpattu National Park,North_Western,Puttalam,471,750,62.8
2027-11-24,Yala National Park,Southern,Hambantota,75,2133,3.52
2027-11-25,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-25,Dambulla Cave Temple,Central,Matale,285,586,48.63
2027-11-25,Galle Fort,Southern,Galle,53,897,5.91
2027-11-25,Horton Plains (World's End),Central,Nuwara Eliya,152,270,56.3
2027-11-25,Jaffna Fort,Northern,Jaffna,525,867,60.55
2027-11-25,Kaudulla National Park,North_Central,Polonnaruwa,689,622,110.77
2027-11-25,Knuckles Conservation Forest,Central,Matale,513,846,60.64
2027-11-25,Mirissa (Whale Watching),Southern,Matara,52,208,25.0
2027-11-25,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,213,434,49.08
2027-11-25,Sigiriya Rock & Museum,Central,Matale,1020,2161,47.2
2027-11-25,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,400,192,208.33
2027-11-25,Temple of the Tooth (Kandy),Central,Kandy,1212,1398,86.7
2027-11-25,Udawalawe National Park,Uva,Monaragala,479,854,56.09
2027-11-25,Wilpattu National Park,North_Western,Puttalam,473,750,63.07
2027-11-25,Yala National Park,Southern,Hambantota,77,2133,3.61
2027-11-26,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-26,Dambulla Cave Temple,Central,Matale,279,586,47.61
2027-11-26,Galle Fort,Southern,Galle,55,897,6.13
2027-11-26,Horton Plains (World's End),Central,Nuwara Eliya,155,270,57.41
2027-11-26,Jaffna Fort,Northern,Jaffna,527,867,60.78
2027-11-26,Kaudulla National Park,North_Central,Polonnaruwa,692,622,111.25
2027-11-26,Knuckles Conservation Forest,Central,Matale,516,846,60.99
2027-11-26,Mirissa (Whale Watching),Southern,Matara,54,208,25.96
2027-11-26,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,209,434,48.16
2027-11-26,Sigiriya Rock & Museum,Central,Matale,995,2161,46.04
2027-11-26,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,403,192,209.9
2027-11-26,Temple of the Tooth (Kandy),Central,Kandy,1194,1398,85.41
2027-11-26,Udawalawe National Park,Uva,Monaragala,482,854,56.44
2027-11-26,Wilpattu National Park,North_Western,Puttalam,476,750,63.47
2027-11-26,Yala National Park,Southern,Hambantota,79,2133,3.7
2027-11-27,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2027-11-27,Dambulla Cave Temple,Central,Matale,323,586,55.12
2027-11-27,Galle Fort,Southern,Galle,128,897,14.27
2027-11-27,Horton Plains (World's End),Central,Nuwara Eliya,228,270,84.44
2027-11-27,Jaffna Fort,Northern,Jaffna,601,867,69.32
2027-11-27,Kaudulla National Park,North_Central,Polonnaruwa,765,622,122.99
2027-11-27,Knuckles Conservation Forest,Central,Matale,590,846,69.74
2027-11-27,Mirissa (Whale Watching),Southern,Matara,127,208,61.06
2027-11-27,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,254,434,58.53
2027-11-27,Sigiriya Rock & Museum,Central,Matale,1020,2161,47.2
2027-11-27,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,464,192,241.67
2027-11-27,Temple of the Tooth (Kandy),Central,Kandy,1233,1398,88.2
2027-11-27,Udawalawe National Park,Uva,Monaragala,555,854,64.99
2027-11-27,Wilpattu National Park,North_Western,Puttalam,549,750,73.2
2027-11-27,Yala National Park,Southern,Hambantota,152,2133,7.13
2027-11-28,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2027-11-28,Dambulla Cave Temple,Central,Matale,318,586,54.27
2027-11-28,Galle Fort,Southern,Galle,131,897,14.6
2027-11-28,Horton Plains (World's End),Central,Nuwara Eliya,232,270,85.93
2027-11-28,Jaffna Fort,Northern,Jaffna,605,867,69.78
2027-11-28,Kaudulla National Park,North_Central,Polonnaruwa,769,622,123.63
2027-11-28,Knuckles Conservation Forest,Central,Matale,594,846,70.21
2027-11-28,Mirissa (Whale Watching),Southern,Matara,130,208,62.5
2027-11-28,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,251,434,57.83
2027-11-28,Sigiriya Rock & Museum,Central,Matale,998,2161,46.18
2027-11-28,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,464,192,241.67
2027-11-28,Temple of the Tooth (Kandy),Central,Kandy,1217,1398,87.05
2027-11-28,Udawalawe National Park,Uva,Monaragala,559,854,65.46
2027-11-28,Wilpattu National Park,North_Western,Puttalam,553,750,73.73
2027-11-28,Yala National Park,Southern,Hambantota,156,2133,7.31
2027-11-29,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-29,Dambulla Cave Temple,Central,Matale,264,586,45.05
2027-11-29,Galle Fort,Southern,Galle,64,897,7.13
2027-11-29,Horton Plains (World's End),Central,Nuwara Eliya,165,270,61.11
2027-11-29,Jaffna Fort,Northern,Jaffna,539,867,62.17
2027-11-29,Kaudulla National Park,North_Central,Polonnaruwa,703,622,113.02
2027-11-29,Knuckles Conservation Forest,Central,Matale,528,846,62.41
2027-11-29,Mirissa (Whale Watching),Southern,Matara,63,208,30.29
2027-11-29,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,199,434,45.85
2027-11-29,Sigiriya Rock & Museum,Central,Matale,927,2161,42.9
2027-11-29,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,412,192,214.58
2027-11-29,Temple of the Tooth (Kandy),Central,Kandy,1146,1398,81.97
2027-11-29,Udawalawe National Park,Uva,Monaragala,493,854,57.73
2027-11-29,Wilpattu National Park,North_Western,Puttalam,487,750,64.93
2027-11-29,Yala National Park,Southern,Hambantota,89,2133,4.17
2027-11-30,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2027-11-30,Dambulla Cave Temple,Central,Matale,259,586,44.2
2027-11-30,Galle Fort,Southern,Galle,66,897,7.36
2027-11-30,Horton Plains (World's End),Central,Nuwara Eliya,167,270,61.85
2027-11-30,Jaffna Fort,Northern,Jaffna,540,867,62.28
2027-11-30,Kaudulla National Park,North_Central,Polonnaruwa,704,622,113.18
2027-11-30,Knuckles Conservation Forest,Central,Matale,529,846,62.53
2027-11-30,Mirissa (Whale Watching),Southern,Matara,65,208,31.25
2027-11-30,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,195,434,44.93
2027-11-30,Sigiriya Rock & Museum,Central,Matale,904,2161,41.83
2027-11-30,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,414,192,215.62
2027-11-30,Temple of the Tooth (Kandy),Central,Kandy,1127,1398,80.62
2027-11-30,Udawalawe National Park,Uva,Monaragala,494,854,57.85
2027-11-30,Wilpattu National Park,North_Western,Puttalam,489,750,65.2
2027-11-30,Yala National Park,Southern,Hambantota,91,2133,4.27
2027-12-01,Adam's Peak (Sri Pada),Central,Nuwara Eliya,14,341,4.11
2027-12-01,Dambulla Cave Temple,Central,Matale,362,586,61.77
2027-12-01,Galle Fort,Southern,Galle,122,897,13.6
2027-12-01,Horton Plains (World's End),Central,Nuwara Eliya,252,270,93.33
2027-12-01,Jaffna Fort,Northern,Jaffna,542,867,62.51
2027-12-01,Kaudulla National Park,North_Central,Polonnaruwa,706,622,113.5
2027-12-01,Knuckles Conservation Forest,Central,Matale,531,846,62.77
2027-12-01,Mirissa (Whale Watching),Southern,Matara,120,208,57.69
2027-12-01,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,273,434,62.9
2027-12-01,Sigiriya Rock & Museum,Central,Matale,1262,2161,58.4
2027-12-01,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,415,192,216.15
2027-12-01,Temple of the Tooth (Kandy),Central,Kandy,1945,1398,139.13
2027-12-01,Udawalawe National Park,Uva,Monaragala,496,854,58.08
2027-12-01,Wilpattu National Park,North_Western,Puttalam,490,750,65.33
2027-12-01,Yala National Park,Southern,Hambantota,134,2133,6.28
2027-12-02,Adam's Peak (Sri Pada),Central,Nuwara Eliya,15,341,4.4
2027-12-02,Dambulla Cave Temple,Central,Matale,360,586,61.43
2027-12-02,Galle Fort,Southern,Galle,130,897,14.49
2027-12-02,Horton Plains (World's End),Central,Nuwara Eliya,261,270,96.67
2027-12-02,Jaffna Fort,Northern,Jaffna,545,867,62.86
2027-12-02,Kaudulla National Park,North_Central,Polonnaruwa,709,622,113.99
2027-12-02,Knuckles Conservation Forest,Central,Matale,533,846,63.0
2027-12-02,Mirissa (Whale Watching),Southern,Matara,128,208,61.54
2027-12-02,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,272,434,62.67
2027-12-02,Sigiriya Rock & Museum,Central,Matale,1252,2161,57.94
2027-12-02,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,417,192,217.19
2027-12-02,Temple of the Tooth (Kandy),Central,Kandy,1975,1398,141.27
2027-12-02,Udawalawe National Park,Uva,Monaragala,498,854,58.31
2027-12-02,Wilpattu National Park,North_Western,Puttalam,493,750,65.73
2027-12-02,Yala National Park,Southern,Hambantota,140,2133,6.56
2027-12-03,Adam's Peak (Sri Pada),Central,Nuwara Eliya,16,341,4.69
2027-12-03,Dambulla Cave Temple,Central,Matale,359,586,61.26
2027-12-03,Galle Fort,Southern,Galle,140,897,15.61
2027-12-03,Horton Plains (World's End),Central,Nuwara Eliya,273,270,101.11
2027-12-03,Jaffna Fort,Northern,Jaffna,547,867,63.09
2027-12-03,Kaudulla National Park,North_Central,Polonnaruwa,711,622,114.31
2027-12-03,Knuckles Conservation Forest,Central,Matale,536,846,63.36
2027-12-03,Mirissa (Whale Watching),Southern,Matara,138,208,66.35
2027-12-03,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,272,434,62.67
2027-12-03,Sigiriya Rock & Museum,Central,Matale,1247,2161,57.7
2027-12-03,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,419,192,218.23
2027-12-03,Temple of the Tooth (Kandy),Central,Kandy,2019,1398,144.42
2027-12-03,Udawalawe National Park,Uva,Monaragala,501,854,58.67
2027-12-03,Wilpattu National Park,North_Western,Puttalam,495,750,66.0
2027-12-03,Yala National Park,Southern,Hambantota,146,2133,6.84
2027-12-04,Adam's Peak (Sri Pada),Central,Nuwara Eliya,113,341,33.14
2027-12-04,Dambulla Cave Temple,Central,Matale,430,586,73.38
2027-12-04,Galle Fort,Southern,Galle,278,897,30.99
2027-12-04,Horton Plains (World's End),Central,Nuwara Eliya,391,270,144.81
2027-12-04,Jaffna Fort,Northern,Jaffna,621,867,71.63
2027-12-04,Kaudulla National Park,North_Central,Polonnaruwa,785,622,126.21
2027-12-04,Knuckles Conservation Forest,Central,Matale,609,846,71.99
2027-12-04,Mirissa (Whale Watching),Southern,Matara,276,208,132.69
2027-12-04,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,343,434,79.03
2027-12-04,Sigiriya Rock & Museum,Central,Matale,1313,2161,60.76
2027-12-04,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,464,192,241.67
2027-12-04,Temple of the Tooth (Kandy),Central,Kandy,2167,1398,155.01
2027-12-04,Udawalawe National Park,Uva,Monaragala,574,854,67.21
2027-12-04,Wilpattu National Park,North_Western,Puttalam,569,750,75.87
2027-12-04,Yala National Park,Southern,Hambantota,256,2133,12.0
2027-12-05,Adam's Peak (Sri Pada),Central,Nuwara Eliya,120,341,35.19
2027-12-05,Dambulla Cave Temple,Central,Matale,432,586,73.72
2027-12-05,Galle Fort,Southern,Galle,297,897,33.11
2027-12-05,Horton Plains (World's End),Central,Nuwara Eliya,408,270,151.11
2027-12-05,Jaffna Fort,Northern,Jaffna,625,867,72.09
2027-12-05,Kaudulla National Park,North_Central,Polonnaruwa,789,622,126.85
2027-12-05,Knuckles Conservation Forest,Central,Matale,613,846,72.46
2027-12-05,Mirissa (Whale Watching),Southern,Matara,295,208,141.83
2027-12-05,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,345,434,79.49
2027-12-05,Sigiriya Rock & Museum,Central,Matale,1312,2161,60.71
2027-12-05,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,464,192,241.67
2027-12-05,Temple of the Tooth (Kandy),Central,Kandy,2227,1398,159.3
2027-12-05,Udawalawe National Park,Uva,Monaragala,578,854,67.68
2027-12-05,Wilpattu National Park,North_Western,Puttalam,572,750,76.27
2027-12-05,Yala National Park,Southern,Hambantota,268,2133,12.56
2027-12-06,Adam's Peak (Sri Pada),Central,Nuwara Eliya,34,341,9.97
2027-12-06,Dambulla Cave Temple,Central,Matale,365,586,62.29
2027-12-06,Galle Fort,Southern,Galle,192,897,21.4
2027-12-06,Horton Plains (World's End),Central,Nuwara Eliya,321,270,118.89
2027-12-06,Jaffna Fort,Northern,Jaffna,558,867,64.36
2027-12-06,Kaudulla National Park,North_Central,Polonnaruwa,723,622,116.24
2027-12-06,Knuckles Conservation Forest,Central,Matale,547,846,64.66
2027-12-06,Mirissa (Whale Watching),Southern,Matara,189,208,90.87
2027-12-06,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,279,434,64.29
2027-12-06,Sigiriya Rock & Museum,Central,Matale,1244,2161,57.57
2027-12-06,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,426,192,221.88
2027-12-06,Temple of the Tooth (Kandy),Central,Kandy,2195,1398,157.01
2027-12-06,Udawalawe National Park,Uva,Monaragala,512,854,59.95
2027-12-06,Wilpattu National Park,North_Western,Puttalam,506,750,67.47
2027-12-06,Yala National Park,Southern,Hambantota,178,2133,8.35
2027-12-07,Adam's Peak (Sri Pada),Central,Nuwara Eliya,37,341,10.85
2027-12-07,Dambulla Cave Temple,Central,Matale,366,586,62.46
2027-12-07,Galle Fort,Southern,Galle,206,897,22.97
2027-12-07,Horton Plains (World's End),Central,Nuwara Eliya,335,270,124.07
2027-12-07,Jaffna Fort,Northern,Jaffna,560,867,64.59
2027-12-07,Kaudulla National Park,North_Central,Polonnaruwa,725,622,116.56
2027-12-07,Knuckles Conservation Forest,Central,Matale,548,846,64.78
2027-12-07,Mirissa (Whale Watching),Southern,Matara,203,208,97.6
2027-12-07,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,280,434,64.52
2027-12-07,Sigiriya Rock & Museum,Central,Matale,1245,2161,57.61
2027-12-07,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,427,192,222.4
2027-12-07,Temple of the Tooth (Kandy),Central,Kandy,2263,1398,161.87
2027-12-07,Udawalawe National Park,Uva,Monaragala,513,854,60.07
2027-12-07,Wilpattu National Park,North_Western,Puttalam,507,750,67.6
2027-12-07,Yala National Park,Southern,Hambantota,186,2133,8.72
2027-12-08,Adam's Peak (Sri Pada),Central,Nuwara Eliya,41,341,12.02
2027-12-08,Dambulla Cave Temple,Central,Matale,371,586,63.31
2027-12-08,Galle Fort,Southern,Galle,224,897,24.97
2027-12-08,Horton Plains (World's End),Central,Nuwara Eliya,354,270,131.11
2027-12-08,Jaffna Fort,Northern,Jaffna,561,867,64.71
2027-12-08,Kaudulla National Park,North_Central,Polonnaruwa,727,622,116.88
2027-12-08,Knuckles Conservation Forest,Central,Matale,549,846,64.89
2027-12-08,Mirissa (Whale Watching),Southern,Matara,220,208,105.77
2027-12-08,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,284,434,65.44
2027-12-08,Sigiriya Rock & Museum,Central,Matale,1261,2161,58.35
2027-12-08,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,427,192,222.4
2027-12-08,Temple of the Tooth (Kandy),Central,Kandy,2380,1398,170.24
2027-12-08,Udawalawe National Park,Uva,Monaragala,514,854,60.19
2027-12-08,Wilpattu National Park,North_Western,Puttalam,508,750,67.73
2027-12-08,Yala National Park,Southern,Hambantota,196,2133,9.19
2027-12-09,Adam's Peak (Sri Pada),Central,Nuwara Eliya,43,341,12.61
2027-12-09,Dambulla Cave Temple,Central,Matale,371,586,63.31
2027-12-09,Galle Fort,Southern,Galle,239,897,26.64
2027-12-09,Horton Plains (World's End),Central,Nuwara Eliya,368,270,136.3
2027-12-09,Jaffna Fort,Northern,Jaffna,564,867,65.05
2027-12-09,Kaudulla National Park,North_Central,Polonnaruwa,730,622,117.36
2027-12-09,Knuckles Conservation Forest,Central,Matale,552,846,65.25
2027-12-09,Mirissa (Whale Watching),Southern,Matara,236,208,113.46
2027-12-09,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,283,434,65.21
2027-12-09,Sigiriya Rock & Museum,Central,Matale,1253,2161,57.98
2027-12-09,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,429,192,223.44
2027-12-09,Temple of the Tooth (Kandy),Central,Kandy,2430,1398,173.82
2027-12-09,Udawalawe National Park,Uva,Monaragala,517,854,60.54
2027-12-09,Wilpattu National Park,North_Western,Puttalam,511,750,68.13
2027-12-09,Yala National Park,Southern,Hambantota,204,2133,9.56
2027-12-10,Adam's Peak (Sri Pada),Central,Nuwara Eliya,46,341,13.49
2027-12-10,Dambulla Cave Temple,Central,Matale,370,586,63.14
2027-12-10,Galle Fort,Southern,Galle,255,897,28.43
2027-12-10,Horton Plains (World's End),Central,Nuwara Eliya,383,270,141.85
2027-12-10,Jaffna Fort,Northern,Jaffna,566,867,65.28
2027-12-10,Kaudulla National Park,North_Central,Polonnaruwa,733,622,117.85
2027-12-10,Knuckles Conservation Forest,Central,Matale,554,846,65.48
2027-12-10,Mirissa (Whale Watching),Southern,Matara,252,208,121.15
2027-12-10,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,283,434,65.21
2027-12-10,Sigiriya Rock & Museum,Central,Matale,1247,2161,57.7
2027-12-10,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,431,192,224.48
2027-12-10,Temple of the Tooth (Kandy),Central,Kandy,2484,1398,177.68
2027-12-10,Udawalawe National Park,Uva,Monaragala,519,854,60.77
2027-12-10,Wilpattu National Park,North_Western,Puttalam,513,750,68.4
2027-12-10,Yala National Park,Southern,Hambantota,213,2133,9.99
2027-12-11,Adam's Peak (Sri Pada),Central,Nuwara Eliya,150,341,43.99
2027-12-11,Dambulla Cave Temple,Central,Matale,441,586,75.26
2027-12-11,Galle Fort,Southern,Galle,404,897,45.04
2027-12-11,Horton Plains (World's End),Central,Nuwara Eliya,507,270,187.78
2027-12-11,Jaffna Fort,Northern,Jaffna,640,867,73.82
2027-12-11,Kaudulla National Park,North_Central,Polonnaruwa,807,622,129.74
2027-12-11,Knuckles Conservation Forest,Central,Matale,628,846,74.23
2027-12-11,Mirissa (Whale Watching),Southern,Matara,400,208,192.31
2027-12-11,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,355,434,81.8
2027-12-11,Sigiriya Rock & Museum,Central,Matale,1313,2161,60.76
2027-12-11,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,465,192,242.19
2027-12-11,Temple of the Tooth (Kandy),Central,Kandy,2642,1398,188.98
2027-12-11,Udawalawe National Park,Uva,Monaragala,593,854,69.44
2027-12-11,Wilpattu National Park,North_Western,Puttalam,587,750,78.27
2027-12-11,Yala National Park,Southern,Hambantota,327,2133,15.33
2027-12-12,Adam's Peak (Sri Pada),Central,Nuwara Eliya,156,341,45.75
2027-12-12,Dambulla Cave Temple,Central,Matale,442,586,75.43
2027-12-12,Galle Fort,Southern,Galle,427,897,47.6
2027-12-12,Horton Plains (World's End),Central,Nuwara Eliya,526,270,194.81
2027-12-12,Jaffna Fort,Northern,Jaffna,644,867,74.28
2027-12-12,Kaudulla National Park,North_Central,Polonnaruwa,811,622,130.39
2027-12-12,Knuckles Conservation Forest,Central,Matale,632,846,74.7
2027-12-12,Mirissa (Whale Watching),Southern,Matara,423,208,203.37
2027-12-12,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,356,434,82.03
2027-12-12,Sigiriya Rock & Museum,Central,Matale,1309,2161,60.57
2027-12-12,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,465,192,242.19
